tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0000886,movie,"Hamlet, Prince of Denmark",hamlet,0,1910.0,,,Drama,hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100%,91%
tt0002089,movie,Carmen,carmen,0,1912.0,,,,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0002405,movie,Oliver Twist,oliver twist,0,1912.0,,,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0003108,movie,Macbeth,macbeth,0,1913.0,,50.0,"Crime,Drama",macbeth,https://www.rottentomatoes.com/m/macbeth,1954,,
tt0003108,movie,Macbeth,macbeth,0,1913.0,,50.0,"Crime,Drama",macbeth,https://www.rottentomatoes.com/m/the_tragedy_of_macbeth,"Released Dec 15, 1971",80%,73%
tt0003301,movie,The Prisoner of Zenda,the prisoner of zenda,0,1913.0,,55.0,Adventure,the prisoner of zenda,https://www.rottentomatoes.com/m/the_prisoner_of_zenda,1915,,
tt0003337,movie,Robin Hood,robin hood,0,1913.0,,,Adventure,robin hood,https://www.rottentomatoes.com/m/robin_hood,1991,,
tt0003606,movie,Aftermath,aftermath,0,1914.0,,,Drama,aftermath,https://www.rottentomatoes.com/m/aftermath,"Released Nov 1, 2013",82%,80%
tt0003625,movie,Anna Karenina,anna karenina,0,1914.0,,,Drama,anna karenina,https://www.rottentomatoes.com/m/anna_karenina,1967,,70%
tt0003689,movie,Born Again,born again,0,1914.0,,,Drama,born again,https://www.rottentomatoes.com/m/born_again,2015,,
tt0003772,movie,Cinderella,cinderella,0,1914.0,,52.0,"Drama,Fantasy",cinderella,https://www.rottentomatoes.com/m/cinderella,"Released Feb 15, 1950",98%,80%
tt0003804,movie,The Crucible,the crucible,0,1914.0,,,"Drama,Romance",the crucible,https://www.rottentomatoes.com/m/the_crucible,1967,,
tt0003859,movie,Dope,dope,0,1914.0,,,Drama,dope,https://www.rottentomatoes.com/m/dope,1968,,
tt0004404,movie,Nightmare,nightmare,0,1914.0,,,,nightmare,https://www.rottentomatoes.com/m/nightmare,2007,,50%
tt0004473,movie,The Pit,the pit,0,1914.0,,50.0,Drama,the pit,https://www.rottentomatoes.com/m/the_pit,2010,,38%
tt0004558,movie,Samson,samson,0,1914.0,,60.0,Drama,samson,https://www.rottentomatoes.com/m/samson,1961,,40%
tt0004633,movie,The Spy,the spy,0,1914.0,,,"Drama,War",the spy,https://www.rottentomatoes.com/m/spy,1987,,
tt0004688,movie,The Thief,the thief,0,1914.0,,50.0,Drama,the thief,https://www.rottentomatoes.com/m/the_thief,2020,,
tt0004696,movie,The Three Musketeers,the three musketeers,0,1914.0,,,Drama,the three musketeers,https://www.rottentomatoes.com/m/the_three_musketeers,"Released Jun 1, 1992",,
tt0004761,movie,Vendetta,vendetta,0,1914.0,,,Drama,vendetta,https://www.rottentomatoes.com/m/vendetta,2010,,
tt0004816,movie,Wildflower,wildflower,0,1914.0,,,"Drama,Romance",wildflower,https://www.rottentomatoes.com/m/wildflower,"Released Mar 17, 2023",63%,93%
tt0004832,movie,The Woman in Black,the woman in black,0,1914.0,,55.0,"Drama,Romance",the woman in black,https://www.rottentomatoes.com/m/woman_in_black,1989,100%,78%
tt0004873,movie,Alice in Wonderland,alice in wonderland,0,1915.0,,52.0,"Adventure,Family,Fantasy",alice in wonderland,https://www.rottentomatoes.com/m/alice_in_wonderland,2010,,
tt0004972,movie,The Birth of a Nation,the birth of a nation,0,1915.0,,195.0,"Drama,War",the birth of a nation,https://www.rottentomatoes.com/m/birth_of_a_nation,"Released Mar 3, 1915",91%,47%
tt0004992,movie,The Boss,the boss,0,1915.0,,50.0,Drama,the boss,https://www.rottentomatoes.com/m/the_boss,2016,,
tt0005196,movie,The Dictator,the dictator,0,1915.0,,,"Adventure,Romance",the dictator,https://www.rottentomatoes.com/m/the_dictator,"Released Jun 22, 1922",,
tt0005196,movie,The Dictator,the dictator,0,1915.0,,,"Adventure,Romance",the dictator,https://www.rottentomatoes.com/m/dictator,"Released May 16, 2012",56%,44%
tt0005260,movie,An Eye for an Eye,an eye for an eye,0,1915.0,,,Drama,an eye for an eye,https://www.rottentomatoes.com/m/an_eye_for_an_eye,2022,,
tt0005308,movie,Fatherhood,fatherhood,0,1915.0,,,Western,fatherhood,https://www.rottentomatoes.com/m/fatherhood,2018,,
tt0005321,movie,The Fifth Commandment,the fifth commandment,0,1915.0,,,Drama,the fifth commandment,https://www.rottentomatoes.com/m/fifth_commandment,"Released Aug 22, 2008",,25%
tt0005353,movie,Four Feathers,four feathers,0,1915.0,,50.0,Drama,four feathers,https://www.rottentomatoes.com/m/the_four_feathers,1929,,100%
tt0005600,movie,The Lamb,the lamb,0,1915.0,,56.0,"Adventure,Comedy,Western",the lamb,https://www.rottentomatoes.com/m/lamb,"Released Sep 23, 1915",,
tt0005939,movie,The Quest,the quest,0,1915.0,,,"Action,Adventure,Drama",the quest,https://www.rottentomatoes.com/m/the_quest,1982,,
tt0005955,movie,The Raven,the raven,0,1915.0,,57.0,"Biography,Drama",the raven,https://www.rottentomatoes.com/m/the_raven,2007,,41%
tt0005957,movie,The Red Circle,the red circle,0,1915.0,,,Drama,the red circle,https://www.rottentomatoes.com/m/le_cercle_rouge,"Released Jan 2, 1970",96%,92%
tt0005987,movie,Rumpelstiltskin,rumpelstiltskin,0,1915.0,,,Fantasy,rumpelstiltskin,https://www.rottentomatoes.com/m/rumpelstiltskin,2007,,
tt0006008,movie,Scandal,scandal,0,1915.0,,50.0,Drama,scandal,https://www.rottentomatoes.com/m/scandal,1982,,
tt0006210,movie,Vanity Fair,vanity fair,0,1915.0,,,Drama,vanity fair,https://www.rottentomatoes.com/m/vanity_fair,"Released Sep 1, 2004",51%,50%
tt0006235,movie,The Vow,the vow,0,1915.0,,,Drama,the vow,https://www.rottentomatoes.com/m/the_vow,1918,,
tt0006247,movie,The Way Back,the way back,0,1915.0,,,Crime,the way back,https://www.rottentomatoes.com/m/the_way_back,"Released Jan 21, 2011",74%,72%
tt0006352,movie,Ambition,ambition,0,1916.0,,50.0,Drama,ambition,https://www.rottentomatoes.com/m/ambition,2005,,
tt0006408,movie,The Beast,the beast,0,1916.0,,50.0,"Comedy,Drama,Romance",the beast,https://www.rottentomatoes.com/m/the_beast,2011,,
tt0006433,movie,Black Friday,black friday,0,1916.0,,50.0,"Drama,History",black friday,https://www.rottentomatoes.com/m/black_friday,"Released Apr 12, 1940",100%,52%
tt0006496,movie,The Challenge,the challenge,0,1916.0,,50.0,Drama,the challenge,https://www.rottentomatoes.com/m/the_challenge,2003,,60%
tt0006496,movie,The Challenge,the challenge,0,1916.0,,50.0,Drama,the challenge,https://www.rottentomatoes.com/m/challenge,2005,,35%
tt0006580,movie,The Deserter,the deserter,0,1916.0,,50.0,"Adventure,Western",the deserter,https://www.rottentomatoes.com/m/the_deserter,2008,,
tt0006580,movie,The Deserter,the deserter,0,1916.0,,50.0,"Adventure,Western",the deserter,https://www.rottentomatoes.com/m/deserter,1971,,
tt0006581,movie,Desperation,driven,0,1916.0,,,Drama,driven,https://www.rottentomatoes.com/m/driven,"Released Aug 16, 2019",64%,62%
tt0006588,movie,The Devil's Double,the devil's double,0,1916.0,,50.0,Western,the devil's double,https://www.rottentomatoes.com/m/the_devils_double,"Released Jul 29, 2011",55%,64%
tt0006866,movie,Iris,iris,0,1916.0,,,"Drama,Romance",iris,https://www.rottentomatoes.com/m/iris,2004,,
tt0006867,movie,The Iron Claw,the iron claw,0,1916.0,,,"Action,Adventure",the iron claw,https://www.rottentomatoes.com/m/the_iron_claw,"Released Feb 28, 1916",100%,100%
tt0006895,movie,King Lear,king lear,0,1916.0,,63.0,Drama,king lear,https://www.rottentomatoes.com/m/king_lear,2018,,
tt0006900,movie,The Kiss,the kiss,0,1916.0,,50.0,"Comedy,Drama",the kiss,https://www.rottentomatoes.com/m/the_kiss,2008,,
tt0007097,movie,Motherhood,motherhood,0,1917.0,,50.0,Drama,motherhood,https://www.rottentomatoes.com/m/motherhood,"Released Oct 23, 2009",20%,16%
tt0007120,movie,The Net,the net,0,1916.0,,59.0,"Crime,Drama",the net,https://www.rottentomatoes.com/m/the_net,"Released Nov 5, 1953",,
